product_token,name,category,sales_count,order_count,visit_count,date
p_zvv43brwrk,Cotton Tea Towel | Black Cottage,Tea Towel,0,0,2,2023-01-01 00:00:00
p_swmea5w7b9,Kitchen Apron | Painted Dog,Apron,0,0,6,2023-04-01 00:00:00
p_qydpvzv9dq,Kitchen Apron | Ooh La La House,Apron,0,0,7,2023-04-01 00:00:00
p_b5bhk2gnqe,Kitchen Apron | Ooh La La Cats,Apron,0,0,3,2023-04-01 00:00:00
p_3d532gbm2v,Tote Bag | Painted Dog,Tote Bag,3,1,3,2023-04-01 00:00:00
p_h34qa4rpxc,Tote Bag | Ooh La La House,Tote Bag,3,1,3,2023-04-01 00:00:00
p_zs9z9rbu3q,Tote Bag | Ooh La La Cats,Tote Bag,0,0,7,2023-04-01 00:00:00
p_s8cbx7xbxx,Tote Bag | Ooh La La Cats Meow,Tote Bag,0,0,2,2023-04-01 00:00:00
p_37f29ef524,Tote Bag | Ooh La La Poodles,Tote Bag,0,0,5,2023-04-01 00:00:00
p_us6qfhtjyq,Pajama Set | The Painted Dog,Sleepwear Sets,0,0,1,2023-04-01 00:00:00
p_rmfv5unqhc,Pajama Set | Ooh La La House,Sleepwear Sets,0,0,1,2023-04-01 00:00:00
p_4wwx2hgr9n,Pajama Set | Ooh La La Cats,Sleepwear Sets,0,0,3,2023-04-01 00:00:00
p_tnkewb7fqv,Pajama Shirt | Painted Dog,Nightshirts,0,0,0,2023-04-01 00:00:00
p_anxvuvu5wd,Pajama Shirt | Oo La La House,Nightshirts,0,0,1,2023-04-01 00:00:00
p_6wng4c655h,Pajama Shirt | Ooh La La Cats ,Nightshirts,0,0,1,2023-04-01 00:00:00
p_54kxruvpxe,Cosmetics Bags | Ooh La La Cats,Makeup Bag,0,0,0,2023-04-01 00:00:00
p_kk9dcpd88n,Cosmetics Bags | Ooh La La House,Makeup Bag,0,0,0,2023-04-01 00:00:00
p_3455x82jp3,Cosmetics Bags | Painted Dog,Makeup Bag,0,0,0,2023-04-01 00:00:00
p_zvv43brwrk,Cotton Tea Towel | Black Cottage,Tea Towel,0,0,4,2023-05-01 00:00:00
p_beugb7a95u,Cotton Tea Towel | Ooh La La Cats,Tea Towel,0,0,2,2023-05-01 00:00:00
p_29tukxtnzy,Cotton Tea Towel | Red Dog,Tea Towel,0,0,3,2023-05-01 00:00:00
p_3pyqfgnfp6,Cotton Tea Towel | Blue & Orange Bouquet,Tea Towel,0,0,2,2023-05-01 00:00:00
p_7753bsunqm,Cotton Tea Towel | Bike Baskets,Tea Towel,0,0,2,2023-05-01 00:00:00
p_zwzh9dgcy7,Cotton Tea Towel | Bees Love These,Tea Towel,0,0,4,2023-05-01 00:00:00
p_7nt46c37ff,Cotton Tea Towel | Painted Dog,Tea Towel,0,0,4,2023-05-01 00:00:00
p_ju8v5n88a9,Cotton Tea Towel | Blue Cat,Tea Towel,0,0,0,2023-05-01 00:00:00
p_v98nxkvsts,Cotton Tea Towel | Ooh La La House,Tea Towel,0,0,4,2023-05-01 00:00:00
p_rvr7y67x3n,Cotton Tea Towel | Elephant Garden,Tea Towel,0,0,1,2023-05-01 00:00:00
p_4az7yk7mp6,Cotton Tea Towel | Llamas,Tea Towel,0,0,1,2023-05-01 00:00:00
p_h769hx52cx,Cotton Tea Towel | Ooh La La Cat’s Meow,Tea Towel,0,0,1,2023-05-01 00:00:00
p_pdj8rur3c6,Cotton Tea Towel | Ooh La La Poodles,Tea Towel,0,0,2,2023-05-01 00:00:00
p_atux9zvk77,Kitchen Apron | Bees Love These,Apron,0,0,2,2023-05-01 00:00:00
p_swmea5w7b9,Kitchen Apron | Painted Dog,Apron,0,0,1,2023-05-01 00:00:00
p_qydpvzv9dq,Kitchen Apron | Ooh La La House,Apron,0,0,1,2023-05-01 00:00:00
p_b5bhk2gnqe,Kitchen Apron | Ooh La La Cats,Apron,0,0,2,2023-05-01 00:00:00
p_3d532gbm2v,Tote Bag | Painted Dog,Tote Bag,0,0,4,2023-05-01 00:00:00
p_h34qa4rpxc,Tote Bag | Ooh La La House,Tote Bag,0,0,4,2023-05-01 00:00:00
p_zs9z9rbu3q,Tote Bag | Ooh La La Cats,Tote Bag,0,0,5,2023-05-01 00:00:00
p_s8cbx7xbxx,Tote Bag | Ooh La La Cats Meow,Tote Bag,0,0,2,2023-05-01 00:00:00
p_37f29ef524,Tote Bag | Ooh La La Poodles,Tote Bag,0,0,3,2023-05-01 00:00:00
p_us6qfhtjyq,Pajama Set | The Painted Dog,Sleepwear Sets,0,0,2,2023-05-01 00:00:00
p_rmfv5unqhc,Pajama Set | Ooh La La House,Sleepwear Sets,0,0,1,2023-05-01 00:00:00
p_4wwx2hgr9n,Pajama Set | Ooh La La Cats,Sleepwear Sets,0,0,2,2023-05-01 00:00:00
p_tnkewb7fqv,Pajama Shirt | Painted Dog,Nightshirts,0,0,0,2023-05-01 00:00:00
p_anxvuvu5wd,Pajama Shirt | Oo La La House,Nightshirts,0,0,0,2023-05-01 00:00:00
p_6wng4c655h,Pajama Shirt | Ooh La La Cats ,Nightshirts,0,0,3,2023-05-01 00:00:00
p_54kxruvpxe,Cosmetics Bags | Ooh La La Cats,Makeup Bag,0,0,0,2023-05-01 00:00:00
p_kk9dcpd88n,Cosmetics Bags | Ooh La La House,Makeup Bag,0,0,0,2023-05-01 00:00:00
p_3455x82jp3,Cosmetics Bags | Painted Dog,Makeup Bag,0,0,0,2023-05-01 00:00:00
p_zvv43brwrk,Cotton Tea Towel | Black Cottage,Tea Towel,0,0,2,2023-06-01 00:00:00
p_beugb7a95u,Cotton Tea Towel | Ooh La La Cats,Tea Towel,0,0,4,2023-06-01 00:00:00
p_29tukxtnzy,Cotton Tea Towel | Red Dog,Tea Towel,0,0,4,2023-06-01 00:00:00
p_3pyqfgnfp6,Cotton Tea Towel | Blue & Orange Bouquet,Tea Towel,0,0,4,2023-06-01 00:00:00
p_7753bsunqm,Cotton Tea Towel | Bike Baskets,Tea Towel,0,0,1,2023-06-01 00:00:00
p_zwzh9dgcy7,Cotton Tea Towel | Bees Love These,Tea Towel,0,0,3,2023-06-01 00:00:00
p_7nt46c37ff,Cotton Tea Towel | Painted Dog,Tea Towel,28,2,25,2023-06-01 00:00:00
p_ju8v5n88a9,Cotton Tea Towel | Blue Cat,Tea Towel,0,0,2,2023-06-01 00:00:00
p_v98nxkvsts,Cotton Tea Towel | Ooh La La House,Tea Towel,28,2,25,2023-06-01 00:00:00
p_rvr7y67x3n,Cotton Tea Towel | Elephant Garden,Tea Towel,0,0,5,2023-06-01 00:00:00
p_4az7yk7mp6,Cotton Tea Towel | Llamas,Tea Towel,0,0,5,2023-06-01 00:00:00
p_h769hx52cx,Cotton Tea Towel | Ooh La La Cat’s Meow,Tea Towel,28,2,16,2023-06-01 00:00:00
p_pdj8rur3c6,Cotton Tea Towel | Ooh La La Poodles,Tea Towel,4,1,12,2023-06-01 00:00:00
p_atux9zvk77,Kitchen Apron | Bees Love These,Apron,4,1,4,2023-06-01 00:00:00
p_swmea5w7b9,Kitchen Apron | Painted Dog,Apron,0,0,2,2023-06-01 00:00:00
p_qydpvzv9dq,Kitchen Apron | Ooh La La House,Apron,0,0,7,2023-06-01 00:00:00
p_b5bhk2gnqe,Kitchen Apron | Ooh La La Cats,Apron,0,0,3,2023-06-01 00:00:00
p_3d532gbm2v,Tote Bag | Painted Dog,Tote Bag,0,0,4,2023-06-01 00:00:00
p_h34qa4rpxc,Tote Bag | Ooh La La House,Tote Bag,6,1,5,2023-06-01 00:00:00
p_zs9z9rbu3q,Tote Bag | Ooh La La Cats,Tote Bag,6,1,6,2023-06-01 00:00:00
p_s8cbx7xbxx,Tote Bag | Ooh La La Cats Meow,Tote Bag,0,0,1,2023-06-01 00:00:00
p_37f29ef524,Tote Bag | Ooh La La Poodles,Tote Bag,0,0,2,2023-06-01 00:00:00
p_us6qfhtjyq,Pajama Set | The Painted Dog,Sleepwear Sets,0,0,7,2023-06-01 00:00:00
p_rmfv5unqhc,Pajama Set | Ooh La La House,Sleepwear Sets,0,0,4,2023-06-01 00:00:00
p_4wwx2hgr9n,Pajama Set | Ooh La La Cats,Sleepwear Sets,0,0,9,2023-06-01 00:00:00
p_tnkewb7fqv,Pajama Shirt | Painted Dog,Nightshirts,0,0,2,2023-06-01 00:00:00
p_anxvuvu5wd,Pajama Shirt | Oo La La House,Nightshirts,0,0,7,2023-06-01 00:00:00
p_6wng4c655h,Pajama Shirt | Ooh La La Cats ,Nightshirts,0,0,8,2023-06-01 00:00:00
p_54kxruvpxe,Cosmetics Bags | Ooh La La Cats,Makeup Bag,0,0,0,2023-06-01 00:00:00
p_kk9dcpd88n,Cosmetics Bags | Ooh La La House,Makeup Bag,0,0,0,2023-06-01 00:00:00
p_3455x82jp3,Cosmetics Bags | Painted Dog,Makeup Bag,0,0,0,2023-06-01 00:00:00
p_zvv43brwrk,Cotton Tea Towel | Black Cottage,Tea Towel,4,1,4,2023-07-01 00:00:00
p_beugb7a95u,Cotton Tea Towel | Ooh La La Cats,Tea Towel,20,1,14,2023-07-01 00:00:00
p_29tukxtnzy,Cotton Tea Towel | Red Dog,Tea Towel,12,3,8,2023-07-01 00:00:00
p_3pyqfgnfp6,Cotton Tea Towel | Blue & Orange Bouquet,Tea Towel,8,2,3,2023-07-01 00:00:00
p_7753bsunqm,Cotton Tea Towel | Bike Baskets,Tea Towel,4,1,2,2023-07-01 00:00:00
p_zwzh9dgcy7,Cotton Tea Towel | Bees Love These,Tea Towel,8,2,10,2023-07-01 00:00:00
p_7nt46c37ff,Cotton Tea Towel | Painted Dog,Tea Towel,32,6,46,2023-07-01 00:00:00
p_ju8v5n88a9,Cotton Tea Towel | Blue Cat,Tea Towel,8,2,10,2023-07-01 00:00:00
p_v98nxkvsts,Cotton Tea Towel | Ooh La La House,Tea Towel,44,4,18,2023-07-01 00:00:00
p_rvr7y67x3n,Cotton Tea Towel | Elephant Garden,Tea Towel,0,0,3,2023-07-01 00:00:00
p_4az7yk7mp6,Cotton Tea Towel | Llamas,Tea Towel,0,0,2,2023-07-01 00:00:00
p_h769hx52cx,Cotton Tea Towel | Ooh La La Cat’s Meow,Tea Towel,8,1,26,2023-07-01 00:00:00
p_pdj8rur3c6,Cotton Tea Towel | Ooh La La Poodles,Tea Towel,20,4,8,2023-07-01 00:00:00
p_atux9zvk77,Kitchen Apron | Bees Love These,Apron,0,0,5,2023-07-01 00:00:00
p_swmea5w7b9,Kitchen Apron | Painted Dog,Apron,2,1,11,2023-07-01 00:00:00
p_qydpvzv9dq,Kitchen Apron | Ooh La La House,Apron,4,2,5,2023-07-01 00:00:00
p_b5bhk2gnqe,Kitchen Apron | Ooh La La Cats,Apron,2,1,15,2023-07-01 00:00:00
p_3d532gbm2v,Tote Bag | Painted Dog,Tote Bag,6,2,8,2023-07-01 00:00:00
p_h34qa4rpxc,Tote Bag | Ooh La La House,Tote Bag,24,4,11,2023-07-01 00:00:00
p_zs9z9rbu3q,Tote Bag | Ooh La La Cats,Tote Bag,18,1,27,2023-07-01 00:00:00
p_s8cbx7xbxx,Tote Bag | Ooh La La Cats Meow,Tote Bag,15,2,14,2023-07-01 00:00:00
p_37f29ef524,Tote Bag | Ooh La La Poodles,Tote Bag,3,1,7,2023-07-01 00:00:00
p_us6qfhtjyq,Pajama Set | The Painted Dog,Sleepwear Sets,0,0,19,2023-07-01 00:00:00
p_rmfv5unqhc,Pajama Set | Ooh La La House,Sleepwear Sets,4,1,7,2023-07-01 00:00:00
p_4wwx2hgr9n,Pajama Set | Ooh La La Cats,Sleepwear Sets,0,0,12,2023-07-01 00:00:00
p_tnkewb7fqv,Pajama Shirt | Painted Dog,Nightshirts,0,0,10,2023-07-01 00:00:00
p_anxvuvu5wd,Pajama Shirt | Oo La La House,Nightshirts,0,0,13,2023-07-01 00:00:00
p_6wng4c655h,Pajama Shirt | Ooh La La Cats ,Nightshirts,3,1,20,2023-07-01 00:00:00
p_54kxruvpxe,Cosmetics Bags | Ooh La La Cats,Makeup Bag,0,0,0,2023-07-01 00:00:00
p_kk9dcpd88n,Cosmetics Bags | Ooh La La House,Makeup Bag,0,0,0,2023-07-01 00:00:00
p_3455x82jp3,Cosmetics Bags | Painted Dog,Makeup Bag,0,0,0,2023-07-01 00:00:00
p_zvv43brwrk,Cotton Tea Towel | Black Cottage,Tea Towel,0,0,2,2023-08-01 00:00:00
p_beugb7a95u,Cotton Tea Towel | Ooh La La Cats,Tea Towel,4,1,6,2023-08-01 00:00:00
p_29tukxtnzy,Cotton Tea Towel | Red Dog,Tea Towel,4,1,0,2023-08-01 00:00:00
p_3pyqfgnfp6,Cotton Tea Towel | Blue & Orange Bouquet,Tea Towel,4,1,2,2023-08-01 00:00:00
p_7753bsunqm,Cotton Tea Towel | Bike Baskets,Tea Towel,4,1,3,2023-08-01 00:00:00
p_zwzh9dgcy7,Cotton Tea Towel | Bees Love These,Tea Towel,0,0,2,2023-08-01 00:00:00
p_7nt46c37ff,Cotton Tea Towel | Painted Dog,Tea Towel,8,2,15,2023-08-01 00:00:00
p_ju8v5n88a9,Cotton Tea Towel | Blue Cat,Tea Towel,8,1,2,2023-08-01 00:00:00
p_v98nxkvsts,Cotton Tea Towel | Ooh La La House,Tea Towel,0,0,5,2023-08-01 00:00:00
p_rvr7y67x3n,Cotton Tea Towel | Elephant Garden,Tea Towel,4,1,2,2023-08-01 00:00:00
p_4az7yk7mp6,Cotton Tea Towel | Llamas,Tea Towel,4,1,2,2023-08-01 00:00:00
p_h769hx52cx,Cotton Tea Towel | Ooh La La Cat’s Meow,Tea Towel,0,0,3,2023-08-01 00:00:00
p_pdj8rur3c6,Cotton Tea Towel | Ooh La La Poodles,Tea Towel,4,1,4,2023-08-01 00:00:00
p_atux9zvk77,Kitchen Apron | Bees Love These,Apron,0,0,0,2023-08-01 00:00:00
p_swmea5w7b9,Kitchen Apron | Painted Dog,Apron,2,1,5,2023-08-01 00:00:00
p_qydpvzv9dq,Kitchen Apron | Ooh La La House,Apron,2,1,2,2023-08-01 00:00:00
p_b5bhk2gnqe,Kitchen Apron | Ooh La La Cats,Apron,2,1,4,2023-08-01 00:00:00
p_3d532gbm2v,Tote Bag | Painted Dog,Tote Bag,0,0,2,2023-08-01 00:00:00
p_h34qa4rpxc,Tote Bag | Ooh La La House,Tote Bag,0,0,2,2023-08-01 00:00:00
p_zs9z9rbu3q,Tote Bag | Ooh La La Cats,Tote Bag,0,0,8,2023-08-01 00:00:00
p_s8cbx7xbxx,Tote Bag | Ooh La La Cats Meow,Tote Bag,0,0,6,2023-08-01 00:00:00
p_37f29ef524,Tote Bag | Ooh La La Poodles,Tote Bag,0,0,5,2023-08-01 00:00:00
p_us6qfhtjyq,Pajama Set | The Painted Dog,Sleepwear Sets,0,0,10,2023-08-01 00:00:00
p_rmfv5unqhc,Pajama Set | Ooh La La House,Sleepwear Sets,0,0,0,2023-08-01 00:00:00
p_4wwx2hgr9n,Pajama Set | Ooh La La Cats,Sleepwear Sets,0,0,0,2023-08-01 00:00:00
p_tnkewb7fqv,Pajama Shirt | Painted Dog,Nightshirts,0,0,2,2023-08-01 00:00:00
p_anxvuvu5wd,Pajama Shirt | Oo La La House,Nightshirts,0,0,0,2023-08-01 00:00:00
p_6wng4c655h,Pajama Shirt | Ooh La La Cats ,Nightshirts,0,0,2,2023-08-01 00:00:00
p_54kxruvpxe,Cosmetics Bags | Ooh La La Cats,Makeup Bag,0,0,0,2023-08-01 00:00:00
p_kk9dcpd88n,Cosmetics Bags | Ooh La La House,Makeup Bag,0,0,0,2023-08-01 00:00:00
p_3455x82jp3,Cosmetics Bags | Painted Dog,Makeup Bag,0,0,0,2023-08-01 00:00:00
p_zvv43brwrk,Cotton Tea Towel | Black Cottage,Tea Towel,0,0,1,2023-09-01 00:00:00
p_beugb7a95u,Cotton Tea Towel | Ooh La La Cats,Tea Towel,12,1,3,2023-09-01 00:00:00
