title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
Small crossbody bag in rifle paper black botanical floral,Crossbody Bags:2024-06-25T13:18:15.824660:47,b_3lt7v9dx,September Skye Bags & Accessories,"{'amount_cents': 4000, 'currency': 'USD'}",47,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Small Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:48,b_qarv7atb2t,emily ruth prints,"{'amount_cents': 4000, 'currency': 'USD'}",48,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
BGS6844 Helena Straw Crossbody Bag With Leather Paneling,Crossbody Bags:2024-06-25T13:18:15.824660:49,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 4737, 'currency': 'USD'}",49,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Clear Rectangle Stadium Concert Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:50,b_926lzrw9gt,Hana,"{'amount_cents': 2400, 'currency': 'USD'}",50,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
CLEAR SLING CROSSBODY STADIUM BAG | 40P514,Crossbody Bags:2024-06-25T13:18:15.824660:51,b_9j5az29aau,Wall To Wall Accessories,"{'amount_cents': 2190, 'currency': 'USD'}",51,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Cats & Books Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:52,b_8d890loa2i,Clea Ray Canvas Bags & Clothing,"{'amount_cents': 6650, 'currency': 'USD'}",52,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Punky Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:53,b_32rsz10vd0,Rainbow Unicorn Birthday Surprise,"{'amount_cents': 2400, 'currency': 'USD'}",53,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
CUTE CAT PATTERN KNITTED PHONE CROSSBODY BAG 315-4 (12PC),Crossbody Bags:2024-06-25T13:18:15.824660:54,b_79gkn2u3uk,TAPA fashion,"{'amount_cents': 500, 'currency': 'USD'}",54,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Gold and Silver Accented Cork Women's Cut-out Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:55,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 2500, 'currency': 'USD'}",55,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Kids Unicorn Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:56,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",56,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Tassle Crossbody Leather Camera Bag,Crossbody Bags:2024-06-25T13:18:15.824660:57,b_7nl8d3eda3,Cadenza Italy Ltd,"{'amount_cents': 6967, 'currency': 'USD', 'original_amount_cents': 5500, 'original_currency': 'GBP'}",57,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
P24005 Small Woven Crossbody Bag (Magnetic Closure),Crossbody Bags:2024-06-25T13:18:15.824660:58,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 3375, 'currency': 'USD'}",58,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Game Day Clear Transparent Crossbody Bag ,Crossbody Bags:2024-06-25T13:18:15.824660:59,b_vswk7rntc2,Sophia Collection,"{'amount_cents': 3960, 'currency': 'USD'}",59,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Adjustable Multi-Colored Crossbody Bags Handbags,Crossbody Bags:2024-06-25T13:18:15.824660:60,b_ajabndfqgz,Chicurb Wholesale,"{'amount_cents': 4699, 'currency': 'USD'}",60,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Crossbody Bag | Olive/Khaki,Crossbody Bags:2024-06-25T13:18:15.824660:61,b_47e85bane6,Keep Nature Wild,"{'amount_cents': 3500, 'currency': 'USD'}",61,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Crossbody Hemp Bag (Code-589),Crossbody Bags:2024-06-25T13:18:15.824660:62,b_a990dearj1,Kathmandu Imports,"{'amount_cents': 800, 'currency': 'USD'}",62,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Cork Women's Double Zip Printed Crossbody Bag BAG-2266,Crossbody Bags:2024-06-25T13:18:15.824660:63,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 2200, 'currency': 'USD'}",63,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Fashionable Large Capacity Single Shoulder Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:64,b_jkhzdth9kx,Wholesalesir,"{'amount_cents': 3300, 'currency': 'USD'}",64,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Leather Crossbody Bag Hamilton GW6806,Crossbody Bags:2024-06-25T13:18:15.824660:65,b_9hbcc3btw9,Greenwood Leather,"{'amount_cents': 6785, 'currency': 'USD'}",65,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Small crossbody bag in duck green chevron,Crossbody Bags:2024-06-25T13:18:15.824660:66,b_3lt7v9dx,September Skye Bags & Accessories,"{'amount_cents': 4000, 'currency': 'USD'}",66,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
NITA LAKE CROSSBODY BAG,Crossbody Bags:2024-06-25T13:18:15.824660:67,b_jgcz52tunw,Sterling Kreek,"{'amount_cents': 9990, 'currency': 'USD'}",67,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Crossbody bag 1CNC X558 - LAST CALL,Crossbody Bags:2024-06-25T13:18:15.824660:68,b_4nhammz0ru,Pink Panache Brands,"{'amount_cents': 1400, 'currency': 'USD'}",68,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Leather Sling Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:69,b_dz8u977zt2,DTrendy shop,"{'amount_cents': 5299, 'currency': 'USD'}",69,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Clear Transparent Stadium Approved Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:70,b_vswk7rntc2,Sophia Collection,"{'amount_cents': 1920, 'currency': 'USD'}",70,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Clear See Through Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:71,b_4ahkhhvtpz,Collections by Fame Accessories,"{'amount_cents': 1899, 'currency': 'USD'}",71,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Clear Crossbody Stadium Bag,Crossbody Bags:2024-06-25T13:18:15.824660:72,b_926lzrw9gt,Hana,"{'amount_cents': 2200, 'currency': 'USD'}",72,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
P24024 Small Tote Crossbody Bag w/Cosmetic Pouch,Crossbody Bags:2024-06-25T13:18:15.824660:73,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 4500, 'currency': 'USD'}",73,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
.SI-26485 Vegan Leather Woven Atlas Crossbody Bum Bag,Crossbody Bags:2024-06-25T13:18:15.824660:74,b_849n5pbfjm,42POPS,"{'amount_cents': 2625, 'currency': 'USD'}",74,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
TC2021-Canvas Strap Multicoloured saddle crossbody bag,Crossbody Bags:2024-06-25T13:18:15.824660:75,b_bptbp63ght,Papaya Fashion Ltd,"{'amount_cents': 3420, 'currency': 'USD', 'original_amount_cents': 2700, 'original_currency': 'GBP'}",75,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Ghost Scream Crossbody Chest Bag ZK482,Crossbody Bags:2024-06-25T13:18:15.824660:76,b_9qqlp5kqt7,UNISHE,"{'amount_cents': 2160, 'currency': 'USD'}",76,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Wrangler Cowhide Tote Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:77,b_kuw6edghr8,Zippity Do Dah,"{'amount_cents': 10000, 'currency': 'USD'}",77,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Navy - Big Anchor Crossbody Bag With Cellphone Pocket,Crossbody Bags:2024-06-25T13:18:15.824660:78,b_25m1090zlh,Shine Mark Accessories,"{'amount_cents': 2500, 'currency': 'USD'}",78,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Olive Crossbody Sling Bag - Green,Crossbody Bags:2024-06-25T13:18:15.824660:79,b_a48i0fg8,Selini New York,"{'amount_cents': 1480, 'currency': 'USD'}",79,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Cork with Patterned zipper crossbody bag BAG-2076-Crossbody,Crossbody Bags:2024-06-25T13:18:15.824660:80,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 1500, 'currency': 'USD'}",80,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Hand Tooled Clear Crossbody Concert festival Game Day bag,Crossbody Bags:2024-06-25T13:18:15.824660:81,b_sx4kc3rrkp,Boho Ranch Shop,"{'amount_cents': 6000, 'currency': 'USD'}",81,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Small Jute Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:82,b_c6107f56,Baizaar,"{'amount_cents': 4000, 'currency': 'USD'}",82,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Envelope Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:83,b_4fn0wz6o3k,Nicci,"{'amount_cents': 4000, 'currency': 'USD'}",83,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Puff Quilted Crossbody Shoulder Bag,Crossbody Bags:2024-06-25T13:18:15.824660:84,b_2ig5ozgc,Vanilla Monkey,"{'amount_cents': 2800, 'currency': 'USD'}",84,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Mystery Reversible + Recycled Silk Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:85,b_3h7jqev7h9,Gardenbelle Shop,"{'amount_cents': 2800, 'currency': 'USD'}",85,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Chains Zebra-Stripe Crossbody Bags,Crossbody Bags:2024-06-25T13:18:15.824660:86,b_dxhtkv5y9m,Easel,"{'amount_cents': 1999, 'currency': 'USD'}",86,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Daphne Embellished Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:87,b_568f472e,America & Beyond,"{'amount_cents': 8500, 'currency': 'USD'}",87,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Straw Braided Crossbody Envelope Bag,Crossbody Bags:2024-06-25T13:18:15.824660:88,b_99x4e5i9x3,Anarchy Street,"{'amount_cents': 3075, 'currency': 'USD'}",88,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Light Purple Cotton Crossbody Bag with Hand-Woven Flower Acc,Crossbody Bags:2024-06-25T13:18:15.824660:89,b_e8m40ryjgu,Earth Divas,"{'amount_cents': 2399, 'currency': 'USD'}",89,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Positano Medium Woven Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:90,b_eqw6h9eypk,Tin Marin Brand,"{'amount_cents': 9800, 'currency': 'USD'}",90,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Aqua - Dragonfly Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:91,b_25m1090zlh,Shine Mark Accessories,"{'amount_cents': 2500, 'currency': 'USD'}",91,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Canvas & Leather Women's Crossbody Bag - Linen/Rose Ebony,Crossbody Bags:2024-06-25T13:18:15.824660:92,b_b2pjelg0sv,Sixtease Bags USA,"{'amount_cents': 3300, 'currency': 'USD'}",92,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
IT360 Italian Leather & Raffia Mini Crossbody Bag ,Crossbody Bags:2024-06-25T13:18:15.824660:93,b_f3x4aqdj37,JIJOU CAPRI,"{'amount_cents': 17000, 'currency': 'USD'}",93,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Clear Handle Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:94,b_anvdg5erjq,3AM BY H&D ACCESSORIES,"{'amount_cents': 1000, 'currency': 'USD'}",94,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
"Boho Shoulder Bag, Cute Crossbody Bag, Small Bag for Women",Crossbody Bags:2024-06-25T13:18:15.824660:95,b_3bj4gws49s,Umays Boho,"{'amount_cents': 3750, 'currency': 'USD'}",95,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
THE CAROLINE CROSSBODY steer longhorn - cowhide purse bag,Crossbody Bags:2024-06-25T13:18:15.824660:96,b_sx4kc3rrkp,Boho Ranch Shop,"{'amount_cents': 9000, 'currency': 'USD'}",96,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Clear Teal Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:97,b_b9h6n2q73p,Daytrip: Festival & Stadium Bags,"{'amount_cents': 4900, 'currency': 'USD'}",97,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
P24015 Medium Woven Hobo Crossbody Bag w/Cosmetic Pouch,Crossbody Bags:2024-06-25T13:18:15.824660:98,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 10500, 'currency': 'USD'}",98,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Sunflower Design Drawstring Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:99,b_e8m40ryjgu,Earth Divas,"{'amount_cents': 2999, 'currency': 'USD'}",99,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
CROSSBODY BAG,Crossbody Bags:2024-06-25T13:18:15.824660:100,b_umt9aycyd6,Melrose Style,"{'amount_cents': 3580, 'currency': 'USD'}",100,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Pure Cotton Hand Block Print Kantha Tote Shopping Bag,Tote Bag:2024-06-25T13:18:15.824660:1,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 3599, 'currency': 'USD'}",1,2024-06-25,2024-06-25T13:18:15.824660,Tote Bag
1012 - Wholesale Canvas Tote Bag,Tote Bag:2024-06-25T13:18:15.824660:2,b_a1274wsui3,AR New York,"{'amount_cents': 2000, 'currency': 'USD'}",2,2024-06-25,2024-06-25T13:18:15.824660,Tote Bag
Tiger & Floral Quilted Reversible Cotton Eco Tote Bag,Tote Bag:2024-06-25T13:18:15.824660:3,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 3599, 'currency': 'USD'}",3,2024-06-25,2024-06-25T13:18:15.824660,Tote Bag
Handmade Cotton Quilted Floral Tote & Market Bag,Tote Bag:2024-06-25T13:18:15.824660:4,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 3599, 'currency': 'USD'}",4,2024-06-25,2024-06-25T13:18:15.824660,Tote Bag
Handmade Quilted Cotton Velvet Floral Hippie Tote Bag,Tote Bag:2024-06-25T13:18:15.824660:5,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 4699, 'currency': 'USD'}",5,2024-06-25,2024-06-25T13:18:15.824660,Tote Bag
Vintage Floral Corduroy Tote Bag,Tote Bag:2024-06-25T13:18:15.824660:6,b_qrthtbpuwu,Funkyrel® Atzbranding Limited,"{'amount_cents': 2200, 'currency': 'USD'}",6,2024-06-25,2024-06-25T13:18:15.824660,Tote Bag
Block Print Kantha Quilted Tote Bag for Women's Gift,Tote Bag:2024-06-25T13:18:15.824660:7,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 3599, 'currency': 'USD'}",7,2024-06-25,2024-06-25T13:18:15.824660,Tote Bag
